ISO3,Name,Sum
AB9,Abyei Area,40002
AFG,Afghanistan,891789
AGO,Angola,494339
AIA,Anguilla,500
ALB,Albania,44482
ARE,United Arab Emirates,1710
ARG,Argentina,159856
ASM,American Samoa,4994
ATG,Antigua and Barbuda,1468
AUS,Australia,225754
AUT,Austria,1583
AZE,Azerbaijan,68391
BDI,Burundi,237316
BEL,Belgium,16137
BEN,Benin,539818
BFA,Burkina Faso,254406
BGD,Bangladesh,15522742
BGR,Bulgaria,5338
BHS,Bahamas,18477
BIH,Bosnia and Herzegovina,92434
BLZ,Belize,10551
BMU,Bermuda,50
BOL,Bolivia,430708
BRA,Brazil,2831480
BRB,Barbados,568
BRN,Brunei Darussalam,145
BTN,Bhutan,23665
BWA,Botswana,8722
CAF,Central African Republic,222986
CAN,Canada,464686
CHE,Switzerland,718
CHL,Chile,4127715
CHN,China,92783330
CIV,Côte d'Ivoire,20332
CMR,Cameroon,200240
COD,Dem. Rep. Congo,1911644
COG,Congo,172897
COK,Cook Islands,670
COL,Colombia,3581390
COM,Comoros,42452
CPV,Cabo Verde,3740
CRI,Costa Rica,46900
CUB,Cuba,6796433
CYM,Cayman Islands,756
CYP,Cyprus,107
CZE,Czech Republic,29273
DEU,Germany,73298
DJI,Djibouti,19376
DMA,Dominica,35971
DOM,Dominican Republic,317337
DZA,Algeria,73207
ECU,Ecuador,333702
EGY,Egypt,30662
ERI,Eritrea,102
ESP,Spain,100425
ETH,Ethiopia,2803293
FIN,Finland,101
FJI,Fiji,203769
FRA,France,69768
FSM,"Micronesia, Fed. Sts.",6760
GAB,Gabon,4203
GBR,United Kingdom,51901
GEO,Georgia,3432
GHA,Ghana,277591
GIN,Guinea,48924
GMB,Gambia,62663
GNB,Guinea-Bissau,6862
GRC,Greece,103798
GRD,Grenada,199
GRL,Greenland,247
GTM,Guatemala,735792
GUF,French Guiana,139
GUM,Guam,2886
GUY,Guyana,579
HKG,"Hong Kong, China",5673
HND,Honduras,1053367
HRV,Croatia,60643
HTI,Haiti,2255148
HUN,Hungary,1771
IDN,Indonesia,7551471
IND,India,53416556
IRL,Ireland,1761
IRN,Iran,986151
IRQ,Iraq,150315
ISL,Iceland,860
ISR,Israel,91693
ITA,Italy,142689
JAM,Jamaica,7098
JOR,Jordan,2763
JPN,Japan,4612855
KAZ,Kazakhstan,78768
KEN,Kenya,1416387
KGZ,Kyrgyzstan,15126
KHM,Cambodia,827449
KIR,Kiribati,2605
KNA,St. Kitts and Nevis,33
KOR,Korea,50259
LAO,Lao PDR,244925
LBN,Lebanon,6590
LBR,Liberia,32024
LBY,Libya,8859
LCA,St. Lucia,1355
LKA,Sri Lanka,3347850
LSO,Lesotho,13089
LTU,Lithuania,0
LUX,Luxembourg,754
LVA,Latvia,24
MAC,"Macao, China",8525
MAF,St. Martin (French part),10582
MAR,Morocco,22819
MDA,Moldova,200
MDG,Madagascar,1051841
MDV,Maldives,392
MEX,Mexico,2471860
MHL,Marshall Islands,2046
MKD,North Macedonia,1766
MLI,Mali,113873
MMR,Myanmar,6004274
MNE,Montenegro,2558
MNG,Mongolia,38798
MNP,Northern Mariana Islands,14811
MOZ,Mozambique,1363039
MRT,Mauritania,21159
MTQ,Martinique,2
MUS,Mauritius,6529
MWI,Malawi,688236
MYS,Malaysia,788177
MYT,Mayotte,10450
NAM,Namibia,147898
NCL,New Caledonia,6149
NER,Niger,1859631
NGA,Nigeria,6094778
NIC,Nicaragua,404043
NLD,Netherlands,55346
NOR,Norway,3800
NPL,Nepal,3654151
NZL,New Zealand,23276
OMN,Oman,17077
PAK,Pakistan,16584566
PAN,Panama,13011
PER,Peru,674339
PHL,Philippines,53683909
PLW,Palau,4108
PNG,Papua New Guinea,278578
POL,Poland,30561
PRI,Puerto Rico,98314
PRK,Dem. People's Rep. Korea,565001
PRT,Portugal,8990
PRY,Paraguay,376313
PSE,Palestine,23281
PYF,French Polynesia,4697
REU,Réunion,14
ROU,Romania,16757
RUS,Russia,142029
RUS,Russian Federation,5622
RWA,Rwanda,113540
SAU,Saudi Arabia,26192
SDN,Sudan,1850508
SEN,Senegal,340609
SLB,Solomon Islands,25713
SLE,Sierra Leone,25571
SLV,El Salvador,119489
SOM,Somalia,3503272
SRB,Serbia,39318
SSD,South Sudan,1907222
STP,São Tomé and Principe,500
SUR,Suriname,12800
SVK,Slovak Republic,0
SVK,Slovakia,334
SVN,Slovenia,336
SWE,Sweden,1273
SWZ,Eswatini,216
SXM,Sint Maarten (Dutch part),12706
SYC,Seychelles,1085
SYR,Syria,152092
TCA,Turks and Caicos Islands,110
TCD,Chad,817493
TGO,Togo,57167
THA,Thailand,3189146
TJK,Tajikistan,40962
TKL,Tokelau,0
TLS,Timor-Leste,21060
TON,Tonga,17101
TTO,Trinidad and Tobago,1170
TUN,Tunisia,17702
TUR,Türkiye,400967
TUV,Tuvalu,5835
TWN,"Taiwan, China",201211
TZA,Tanzania,243571
UGA,Uganda,581958
UKR,Ukraine,29753
URY,Uruguay,73486
USA,United States,10503604
UZB,Uzbekistan,70000
VCT,St. Vincent and the Grenadines,26047
VEN,Venezuela,222145
VGB,British Virgin Islands,6000
VIR,Virgin Islands,2311
VNM,Viet Nam,5090150
VUT,Vanuatu,174940
WSM,Samoa,14509
XKX,Kosovo,1080
YEM,Yemen,518167
ZAF,South Africa,146208
ZMB,Zambia,102951
ZWE,Zimbabwe,133895
